loc,status,year,sex,collect,spend,cost,avg,country1,country2,type1,type2,type3
忻州,1734,2015,M,232,984,560,1.2,美国,日本,剧情,惊悚,科幻
福州,772,2014,M,46,171,1050,0.2,日本,中国大陆,剧情,动画,科幻
,158,2018,,382,3697,1470,11.6,日本,香港,剧情,喜剧,爱情
泰安,978,2011,M,304,922,6930,0.7,美国,中国大陆,剧情,喜剧,动作
北京,33,2013,,0,,,,,,,,
上海,1553,2016,,1161,3887,19880,8.7,美国,日本,剧情,喜剧,动作
上海,3313,2008,,755,3773,6160,1.3,美国,中国大陆,剧情,爱情,喜剧
北京,1306,2010,F,366,1149,5880,0.7,美国,中国大陆,剧情,爱情,喜剧
乌鲁木齐,272,2005,M,919,1765,9730,1.3,美国,香港,动作,剧情,冒险
San Francisco Bay Area,6118,2007,,1719,4470,16030,2.8,美国,日本,剧情,喜剧,爱情
La Habana,13024,2010,,898,4228,10290,1.9,中国大陆,美国,剧情,动作,喜剧
上海,2488,2009,M,1220,3389,8890,2.3,美国,日本,剧情,喜剧,犯罪
广州,1786,2010,U,19,57,70,0.0,日本,美国,剧情,动画,爱情
Antarctica,23814,2008,U,244,1256,2380,0.4,美国,英国,剧情,动作,冒险
合肥,1101,2011,U,209,1169,3010,0.5,美国,中国大陆,剧情,喜剧,爱情
北京,5340,2008,,768,2415,6020,1.3,美国,日本,剧情,喜剧,爱情
Fiji,4640,2008,,799,2497,7210,1.5,美国,香港,剧情,喜剧,爱情
,27,2015,M,347,1095,4340,1.7,日本,美国,剧情,喜剧,动画
,10,2018,,28,57,1400,1.3,美国,英国,剧情,冒险,动作
上海,4298,2005,M,1232,2767,15540,1.7,美国,中国大陆,剧情,喜剧,爱情
,598,2017,,100,244,3010,0.8,美国,中国大陆,剧情,喜剧,爱情
,421,2012,,255,849,6510,0.8,美国,中国大陆,剧情,喜剧,动作
香港,381,2010,M,85,287,1120,0.2,美国,英国,剧情,冒险,喜剧
杭州,1100,2006,M,207,445,4970,0.3,美国,中国大陆,剧情,动作,冒险
西安,4670,2010,M,562,1872,8960,1.2,美国,中国大陆,剧情,喜剧,动作
上海,427,2014,,70,195,700,0.3,美国,英国,剧情,冒险,喜剧
北京,101,2010,,336,2761,1190,0.8,美国,日本,剧情,爱情,喜剧
