57,北京,101,2010,,336,2753,1190,0.8,148,3819,61457,1.7
226,北京,2711,2014,M,116,426,2870,0.5,59,2650,19187,1.0
156,澳门,2257,2010,M,352,1476,4270,0.7,63,2328,21535,0.6
11,上海,1290,2011,U,768,5812,4620,1.8,80,2663,27523,0.8
73,北京,3677,2010,M,444,986,5810,1.0,144,6084,51795,1.4
230,苏州,2084,2012,,125,305,1470,0.3,18,705,5072,0.2
88,马鞍山,5818,2008,M,167,561,700,0.3,39,1717,14407,0.3
28,Boston,5104,2008,F,510,4066,4970,0.9,901,31310,360138,7.0
15,上海,156,2013,U,35,102,140,0.1,33,1854,15655,0.4
14,北京,344,2014,M,28,234,280,0.1,1,,,
2,,22,2011,F,203,824,3150,0.5,5,,,
680,Chicago,5994,2008,F,1394,7699,11200,2.5,192,7630,67703,1.6
22,深圳,1983,2011,M,756,4580,8400,1.8,199,8185,71109,2.1
10,杭州,405,2010,M,39,143,1190,0.1,25,969,7143,0.2
4,,417,2015,,8,,,,2,,,
165,海口,8349,2006,,567,4219,1260,0.8,150,5517,46921,1.0
323,苏州,5105,2010,M,340,1276,5670,0.8,148,6937,54265,1.4
24,北京,2513,2016,F,145,783,4830,1.0,18,792,4981,0.6
9,Kosovo,742,2016,U,821,4170,12460,6.1,47,1215,12706,1.5
5,西安,489,2011,,788,3031,17780,1.8,82,3095,25244,1.0
64,杭州,1237,2009,,735,3292,6790,1.4,61,1752,20554,0.6
164,广州,2347,2010,,914,2322,7770,2.0,153,4386,44307,1.5
48,西安,349,2017,U,365,800,2240,2.9,49,1840,18616,1.8
41,杭州,781,2013,F,245,1252,3710,0.8,58,2838,17837,0.8
12,,1094,2018,,0,,,,0,,,
99,,4068,2007,,263,841,3920,0.4,40,1162,12384,0.4
53,香港,1229,2009,U,223,696,5110,0.4,3,,,
12,镇江,7,2012,,0,,,,0,,,
10,成都,192,2012,,130,1356,1050,0.4,4,,,
24,澳门,456,2011,,7,,,,2,,,
127,广州,1691,2008,M,713,2070,10710,1.3,1041,44502,363491,7.8
0,杭州,216,2009,,84,180,3990,0.2,3,,,
64,Lausanne,2279,2007,M,408,1092,12530,0.7,4,,,
9,New York City,1503,2016,U,127,411,3010,0.9,28,916,7824,0.9
8,深圳,397,2009,F,214,861,1330,0.5,10,297,2340,0.2
29,深圳,357,2014,M,5,,,,1,,,
94,上海,365,2009,F,67,195,2170,0.1,24,814,6846,0.2
144,深圳,1709,2009,F,147,519,4270,0.3,94,3633,28836,0.7
63,上海,80,2013,U,646,2325,7210,2.1,32,1798,10105,0.5
1439,上海,13622,2006,M,1019,4120,11130,1.5,721,25891,252395,4.7
2,,70,2018,,4,,,,44,2677,16777,4.9
62,成都,1879,2010,F,218,616,4270,0.5,12,413,5614,0.1
58,Bergen,796,2010,,378,1321,5040,0.8,253,9867,90694,2.3
49,,514,2018,M,106,520,2450,2.6,19,704,5358,1.9
